peak_name,height_metres,climbed,first_ascent_year,first_ascent_country,first_ascent_expedition_id
Kangchung Shar,6063,TRUE,1984,Yugoslavia,KCHS84301
Phu Kang North,6580,FALSE,NA,NA,NA
Pethangtse East,6572,TRUE,2008,UK,PTHE08101
Phungi,6524,FALSE,NA,NA,NA
Kanti Himal East,6516,FALSE,NA,NA,NA
Jarkya,6473,FALSE,NA,NA,NA
Mariyang West,6455,FALSE,NA,NA,NA
Mayonthang Kang,6449,FALSE,NA,NA,NA
Langju,6426,TRUE,2017,Japan,LNJU17301
Jyachhung,6338,FALSE,NA,NA,NA
Gyala,6363,FALSE,NA,NA,NA
Dolma Khang,6332,TRUE,1980,"Australia, Nepal",DOLM80101
Kaipuchonam,6329,FALSE,NA,NA,NA
Langdung,6326,TRUE,2017,Nepal,LDNG17401
Dzanye II,6318,TRUE,2015,Japan,DZA215301
Pama Himal,6300,FALSE,NA,NA,NA
Peri Himal,6296,FALSE,NA,NA,NA
Takla Kang,6276,FALSE,NA,NA,NA
Kogi Khang North,6275,FALSE,NA,NA,NA
Asajya Tuppa,6265,FALSE,NA,NA,NA
Kojichuwa South,6264,FALSE,NA,NA,NA
Pankar Himal,6264,TRUE,2018,Japan,PKAR18101
Saula,6235,FALSE,NA,NA,NA
Yala Chuli,6236,FALSE,NA,NA,NA
Rhimbu,6210,FALSE,NA,NA,NA
Sanctuary Peak,6207,FALSE,NA,NA,NA
Lasa,6189,FALSE,NA,NA,NA
Peri,6174,TRUE,2016,"Italy, Nepal",PERI16301
Dwijen Himal,6169,FALSE,NA,NA,NA
Jabou Ri,6166,TRUE,2015,USA,JABR15301
Beding Go,6125,TRUE,2015,"Nepal, Canada, Brazil, Ireland",BEDG15301
Takphu North,6142,TRUE,2016,"Germany, Nepal",TAKN16301
Bhulu Lhasa,6102,TRUE,1964,"UK, Nepal",BHUL64301
Lhonak,6070,FALSE,NA,NA,NA
Rolmi,6056,TRUE,2017,Nepal,ROLM17301
Aichyn,6055,TRUE,2015,Japan,ACHN15301
Ardang,6034,FALSE,NA,NA,NA
Lungchhung,6043,FALSE,NA,NA,NA
Khung,6024,FALSE,NA,NA,NA
Chandi Himal,6142,FALSE,NA,NA,NA
Kali Himal,6985,TRUE,1983,Netherlands,KALI83101
Dhechyan Khang,6019,TRUE,2018,"Austria, Germany, Nepal",DHEC18101
Ek Rate Danda,6213,FALSE,NA,NA,NA
Ghyun Himal I,6110,FALSE,NA,NA,NA
Gorakh Himal,6198,FALSE,NA,NA,NA
Hongku,6764,TRUE,2015,France,HONK15301
Karko,6015,FALSE,NA,NA,NA
Karsang Kang,6225,TRUE,2008,France,KARS08301
Khayang,6186,FALSE,NA,NA,NA
Gyalzen Peak,6151,TRUE,2019,Nepal,GYLZ19101
Lungsampa,6500,TRUE,NA,Spain,NA
Mera South,6064,FALSE,NA,NA,NA
Pashuwo,6177,FALSE,NA,NA,NA
Sat Peak,6164,FALSE,NA,NA,NA
Tso Karpo,6518,FALSE,NA,NA,NA
Sharphu II,6328,TRUE,2018,USA,SPH218301
Sharphu III,6220,FALSE,NA,NA,NA
Sharphu IV,6172,TRUE,1962,Japan,SPH462101
Sharphu V,6158,FALSE,NA,NA,NA
Sharphu VI,6076,FALSE,NA,NA,NA
Mansail South,6248,FALSE,NA,NA,NA
Gave Ding,6581,TRUE,2015,UK,GDNG15301
Ngojumba Kang III,7681,FALSE,NA,NA,NA
Kimshung,6781,FALSE,NA,NA,NA
Pawar Central,6621,TRUE,2015,France,PAWR15101
Nagoru,6165,TRUE,2016,"Austria, Nepal",NGOR16301
Saldim,6374,FALSE,NA,NA,NA
Langtang Yubra,6048,FALSE,2018,"Australia, Netherands, Nepal",LANY18301
Larkya Peak,6416,TRUE,2017,Georgia,LARK17301
Nuptse West II,7732,TRUE,NA,NA,NA
Tengi Ragi Tau East,6675,TRUE,2005,France,TENE05301
Nilgiri East,6698,TRUE,NA,Spain,NA
Pemthang Ri,6743,FALSE,NA,NA,NA
Futi Himal,6425,TRUE,2014,Portugal,FUTI14101
Sano Bhrikuti,6328,TRUE,2017,Switzerland,BHRS17101
Sano Kailash,6452,TRUE,2019,"Austria, Nepal",SANK19101
Tarke Kang Shar,7069,TRUE,1981,"Italy, Nepal",TARS81301
Korlang Pari Tippa,5738,FALSE,NA,NA,NA
Jannu East,7460,FALSE,NA,NA,NA
Yubra,6264,FALSE,NA,NA,NA
